til,1360
",",987
paa,730
.,727
av,714
STOCKMANN,641
ikke,543
DOKTOR,462
GREGERS,439
saa,393
GINA,339
havde,336
och,324
fra,322
(fn,297
några,277
!,256
Aar,256
Spetsbergen,244
R,243
Bay,243
jeg,240
hvilka,235
Bryllup,234
HOVSTAD,231
underhuset,220
skulde,219
maatte,214
FRU,214
Krok,206
Gladstone,199
BYFOGDEN,195
Danske,195
Och,186
fartyg,184
også,184
hun,182
over,181
i,180
Palmerston,180
hafvet,178
stranden,173
nästan,168
have,168
en,164
norr,160
Disraeli,156
Frankrige,154
end,152
is,151
någon,149
selv,149
dette,148
är,147
Og,143
Nst,143
ogsaa,140
blev,140
Broms,139
ASLAKSEN,137
Aposteln,133
Sörman,130
Normandiet,129
endnu,126
hvor,126
blot,125
jag,124
irländska,124
Tid,124
fram,123
som,122
angelsaxiske,122
kun,121
ända,120
saaledes,119
her,119
véd,119
Hagelin,119
längre,118
;,118
Deel,118
naar,116
kl,116
vel,115
hendes,115
vattnet,115
Ethelred,115
Norrelius,115
EKDAL,113
Magdalena,110
samt,109
du,108
på,108
hvilket,108
Palnatoke,108
m,107
sidan,107
Hedrek,107
Aeolus,107
vinden,106
RELLING,106
båt,104
började,104
där,104
större,104
WERLE,103
fartyget,102
ingenjören,102
Greta,102
man,101
Historie,101
hende,100
Ekdal,100
söder,99
PETRA,99
været,98
Odin,98
Samlinger,98
Benzelia,98
deres,96
ej,95
vardt,95
3:75,95
Branting,95
gøre,94
mängd,94
det,93
Aarhundrede,93
Brylluppet,93
mil,92
vilde,92
disse,91
Marie,91
Nordhumberland,91
Backarna,91
alt,90
billen,90
sit,90
Eks,90
fjorden,89
norra,89
ud,88
därför,88
följande,87
deels,87
Magazin,87
bill,86
Sigvalde,86
konsistorium,85
Övs,85
Tegnelser,85
Eiland,85
att,84
vil,84
Vagn,84
slutligen,83
till,83
mere,83
visade,83
kommo,83
Fasc,83
BILLING,83
3:—,83
Skik,83
—,82
Juli,82
Kiev,82
Beskr,81
verkställande,80
C,80
baade,79
förf,79
Dag,79
Elsa,79
Høvdinger,79
Blekängen,79
djur,78
ganska,78
fik,78
Edmund,78
för,77
han,77
morgonen,77
Russell,77
Efter,77
norrut,76
Wessex,76
Gusten,76
Torell,76
fingo,75
Peel,75
Gestumblinde,75
emellan,73
hver,73
kommittén,73
no,73
britiska,72
fronten,71
delen,71
:,71
MORTEN,71
Vikinger,71
mange,70
Bl,70
Erik,70
Østangel,70
Vickberg,70
resa,69
vestra,69
Fig,69
Mercien,69
Augusti,69
höjd,68
så,68
faa,68
aar,68
hele,67
med,67
styrde,67
vidare,67
+,67
»,67
Johnsson,67
Loke,67
Heenloopen,67
aftonen,66
Hofmarskalken,66
ehuru,65
gåtan,65
4:75,65
konservativa,64
gik,64
ganske,64
16de,64
Adelsbreve,64
sundet,63
södra,63
östra,63
temligen,63
gingo,63
Boken,63
Mynter,63
Pl,63
ind,62
Gladstones,62
København,62
hög,61
Tomas,61
Ill.,61
tildeels,61
Bright,61
Angantyr,61
hvarandra,60
gerne,60
Gang,60
Datter,60
Derby,60
Spetsbergens,60
fots,59
håll,59
jarl,59
ställe,59
trakter,59
Seinelandet,59
Jomfru,59
ham,58
staden,58
tvenne,58
noget,58
funno,58
förra,58
Men,58
alldeles,57
längs,57
nordost,57
ö,57
neppe,57
holdt,57
biblioteken,57
lågo,57
Island,57
normanniske,57
Malpart,57
Strat,57
derifrån,56
sågo,56
7:50,56
Sjællandske,56
fartygen,55
uden,55
udi,55
blefvo,55
möjligt,55
5:75,55
Christendommen,55
Blom,55
Björkenäs,55
sex,54
stycke,54
allerede,54
mellem,54
meget,54
bibliotekets,54
även,54
Bille,54
Beeren,54
huru,53
senare,53
storm,53
haver,53
Katrine,53
6:50,53
Lb,53
(Kbhvn,53
mig,52
numera,52
närmare,52
olika,52
ställen,52
togo,52
Hovstad,52
Angelsaxerne,52
Torkel,52
dat,51
den,51
pappa,51
särdeles,51
utanför,51
öfverhuset,51
første,51
KIIL,51
Mimmi,51
Benjamin,51
(Fig,51
Skovene,51
Percy,51
båda,50
ombord,50
tills,50
først,50
derfor,50
1,50
I,50
N,50
Da,50
Jag,50
Danerne,50
4to,50
Björner,50
början,49
famnar,49
jarlen,49
kunnat,49
min,49
renar,49
revolutionära,49
stark,49
senere,49
stadsbibliotek,49
nok,49
Harald,49
Maj,49
Række,49
Svanberg,49
Sedan,49
Förf,49
Forhold,49
Seinen,49
Smykker,49
Udstyr,49
lemnade,48
skålpund,48
meest,48
maaskee,48
ukrainska,48
blive,48
maa,48
rodde,48
ſom,48
högsta,48
Att,48
3:50,48
Frankriges,48
Ethelreds,48
Palmerstons,48
Ingenjören,48
kejsaren,47
nordlig,47
sin,47
udde,47
konsistoriet,47
Frederik,47
Art,47
Wallerius,47
Nordostlandet,47
af,46
bottnen,46
